State Code,State Name,District Code,District Name,Sub District Code,Sub District Name,Village Code,Village Name,CD Block Code,CD Block Name,Gram Panchayat Code,Gram Panchayat Name,
29,KARNATAKA,555,Belgaum,05433,Chikodi,597114,Hadnal,0001,Chikodi,,APPACHIWADI,
29,KARNATAKA,555,Belgaum,05433,Chikodi,597115,Sulagaon,0001,Chikodi,,APPACHIWADI,
29,KARNATAKA,555,Belgaum,05433,Chikodi,597116,Mattiwade,0001,Chikodi,,APPACHIWADI,
29,KARNATAKA,555,Belgaum,05433,Chikodi,597117,Bhatnaganur,0001,Chikodi,,KURLI,
29,KARNATAKA,555,Belgaum,05433,Chikodi,597118,Kurli,0001,Chikodi,,KURLI,
29,KARNATAKA,555,Belgaum,05433,Chikodi,597119,Appachiwadi,0001,Chikodi,,APPACHIWADI,
29,KARNATAKA,555,Belgaum,05433,Chikodi,597120,Koganoli,0001,Chikodi,,KOGANOLI,
29,KARNATAKA,555,Belgaum,05433,Chikodi,597121,Hanabarawadi,0001,Chikodi,,KOGANOLI,
29,KARNATAKA,555,Belgaum,05433,Chikodi,597122,Hanchinal (K.S.),0001,Chikodi,,ADI,
29,KARNATAKA,555,Belgaum,05433,Chikodi,597123,Benadi,0001,Chikodi,,BENADI,
29,KARNATAKA,555,Belgaum,05433,Chikodi,597124,Bolewadi,0001,Chikodi,,BENADI,
29,KARNATAKA,555,Belgaum,05433,Chikodi,597125,Akkol,0001,Chikodi,,AKKOL,
29,KARNATAKA,555,Belgaum,05433,Chikodi,597126,Padlihal,0001,Chikodi,,LAKHANAPUR,
29,KARNATAKA,555,Belgaum,05433,Chikodi,597127,Lakhanapur,0001,Chikodi,,LAKHANAPUR,
29,KARNATAKA,555,Belgaum,05433,Chikodi,597128,Jatrat,0001,Chikodi,,JATRAT,
29,KARNATAKA,555,Belgaum,05433,Chikodi,597129,Adi,0001,Chikodi,,ADI,
29,KARNATAKA,555,Belgaum,05433,Chikodi,597130,Bhivashi,0001,Chikodi,,SOUNDALGA,
29,KARNATAKA,555,Belgaum,05433,Chikodi,597131,Naganur,0001,Chikodi,,YAMAGARNI,
29,KARNATAKA,555,Belgaum,05433,Chikodi,597132,Yamagarni,0001,Chikodi,,YAMAGARNI,
29,KARNATAKA,555,Belgaum,05433,Chikodi,597133,Soundalga,0001,Chikodi,,SOUNDALGA,
29,KARNATAKA,555,Belgaum,05433,Chikodi,597134,Budihal,0001,Chikodi,,YAMAGARNI,
29,KARNATAKA,555,Belgaum,05433,Chikodi,597135,Kodni,0001,Chikodi,,KODNI,
29,KARNATAKA,555,Belgaum,05433,Chikodi,597136,Gayakanawadi,0001,Chikodi,,KODNI,
29,KARNATAKA,555,Belgaum,05433,Chikodi,597137,Shirguppi,0001,Chikodi,,SHIRGUPPI,
29,KARNATAKA,555,Belgaum,05433,Chikodi,597138,Pangeri (B),0001,Chikodi,,SHIRGUPPI,
29,KARNATAKA,555,Belgaum,05433,Chikodi,597139,Budulmukh,0001,Chikodi,,SHIRGUPPI,
29,KARNATAKA,555,Belgaum,05433,Chikodi,597140,Shendur,0001,Chikodi,,SHENDUR,
29,KARNATAKA,555,Belgaum,05433,Chikodi,597141,Gondikuppi,0001,Chikodi,,SHENDUR,
29,KARNATAKA,555,Belgaum,05433,Chikodi,597142,Yarnal,0001,Chikodi,,YARNAL,
29,KARNATAKA,555,Belgaum,05433,Chikodi,597143,Nippani (Rural),0001,Chikodi,,PATTANKUDI,
29,KARNATAKA,555,Belgaum,05433,Chikodi,597144,Amalzari,0001,Chikodi,,PATTANKUDI,
29,KARNATAKA,555,Belgaum,05433,Chikodi,597145,Gavan,0001,Chikodi,,YARNAL,
29,KARNATAKA,555,Belgaum,05433,Chikodi,597146,Tavadi,0001,Chikodi,,YARNAL,
29,KARNATAKA,555,Belgaum,05433,Chikodi,597147,Manakapur,0001,Chikodi,,MANAKAPUR,
29,KARNATAKA,555,Belgaum,05433,Chikodi,597148,Kasanal,0001,Chikodi,,MANAKAPUR,
